Date,Open,High,Low,Close,Adj Close,Volume
14/12/16,495.5,502.475006,492.049988,499.875,443.685516,5382614
15/12/16,498.700012,509.475006,494.5,496.174988,440.401459,7966416
16/12/16,501.899994,504.850006,498.875,502.575012,446.082062,6436742
19/12/16,503.049988,504.125,497.049988,502.325012,445.860138,4124134
20/12/16,501,509.5,500.649994,506.075012,449.188599,7636498
21/12/16,508,511,499.125,500.774994,444.484344,7343976
22/12/16,501.25,503.5,484.75,492.350006,437.006378,7060054
23/12/16,492.450012,503.299988,486.799988,494.225006,438.670563,7306036
26/12/16,494,497,487.549988,491.375,436.14093,3213828
27/12/16,491.375,500.950012,490,499.475006,443.330536,4912816
28/12/16,501.475006,504.899994,497.5,499.25,443.130768,5476816
29/12/16,501.875,504,494.075012,496.174988,440.401459,6240124
30/12/16,499,506,496.375,505.299988,448.500671,7267768
02/01/17,505.549988,506.475006,499.674988,500.549988,444.284637,2335222
03/01/17,502.049988,502.450012,491,496.924988,441.067139,6778482
04/01/17,497.524994,502.100006,496.125,498.875,442.797974,7073586
05/01/17,500.799988,504.75,494.375,498.075012,442.08786,8207074
06/01/17,497.450012,499.424988,484.024994,486.125,431.48114,14393448
09/01/17,486.125,488.475006,482.5,485.174988,430.637909,10545692
10/01/17,488.5,490.5,483.975006,485.274994,430.726715,11939854
11/01/17,487.100006,489.225006,481.975006,484.549988,430.08316,12241574
12/01/17,488.774994,502.200012,488.774994,500.024994,443.818695,11855740
13/01/17,515,520,481.350006,487.899994,433.05661,31276246
16/01/17,482.5,482.725006,476.225006,477.825012,424.114075,12351372
17/01/17,478.125,482,476.200012,477.700012,424.003143,5560094
18/01/17,479.049988,480.5,474.899994,475.399994,421.961639,5952962
19/01/17,475.5,479.799988,474.049988,479.049988,425.201355,8876480
20/01/17,475,476.575012,473,474.350006,421.029724,9124742
23/01/17,472.5,479,470,476.350006,422.804932,7948580
24/01/17,475,475,470.049988,472.774994,419.631744,6826010
25/01/17,473.049988,473.399994,467.399994,468.299988,415.65976,9978090
27/01/17,466.924988,473.774994,450.575012,471.075012,418.122864,10635138
30/01/17,468.75,475.75,464.424988,474.674988,421.318176,11369208
31/01/17,470.75,470.75,452.174988,464.299988,412.109406,24068534
01/02/17,460.549988,461.600006,452.575012,458.375,406.850403,11531782
02/02/17,458.5,472.5,455.049988,467.950012,415.34906,11828268
03/02/17,466.899994,470.450012,460.524994,468.049988,415.437836,8423958
06/02/17,468.625,471.875,465.274994,467.625,415.060669,6727934
07/02/17,466.5,474.899994,464.274994,471.125,418.167206,9268002
08/02/17,468,472.049988,466.225006,468.25,415.615387,6319962
09/02/17,468.5,475,468.274994,473,419.831451,11907266
10/02/17,473.125,486,471.649994,484.149994,429.728119,12252452
13/02/17,486.424988,493.049988,481.424988,492.174988,436.851074,13724268
14/02/17,490,494.5,486.174988,493.850006,438.337769,9338818
15/02/17,494.600006,499.399994,484.399994,490.899994,435.719391,7259486
16/02/17,495.5,506.950012,495.024994,506.049988,449.166351,12815858
17/02/17,506.875,506.875,496.350006,500.049988,443.84079,4851208
20/02/17,498.25,515.5,496.75,505.125,448.345398,4650662
21/02/17,511.049988,512.25,500.024994,506.799988,449.832123,7613996
22/02/17,507.5,507.5,493.200012,495.075012,439.425079,6607838
23/02/17,499.450012,510,496.674988,504.424988,447.72403,9542656
27/02/17,503.649994,511.5,503.475006,506.200012,449.2995,5328696
28/02/17,505.924988,511.350006,504.625,506.200012,449.2995,5940132
01/03/17,506,513.5,505.049988,512.575012,454.957977,4282448
02/03/17,512.200012,514,508.25,511.649994,454.136902,2948498
03/03/17,505.125,517.150024,500.200012,515.599976,457.642944,5401612
06/03/17,510.024994,517.974976,509.850006,516.950012,458.841156,5286386
07/03/17,511,512.900024,507.350006,509.899994,452.583618,4644496
08/03/17,508.450012,508.450012,502.225006,503.899994,447.258087,6179176
09/03/17,503.899994,506.5,499.5,505.774994,448.922272,3480630
10/03/17,507.5,513.825012,506.700012,510.924988,453.493408,4550324
14/03/17,511.399994,520.950012,511.399994,517.400024,459.240631,7878396
15/03/17,517.450012,517.450012,503.75,505.975006,449.099854,6373978
16/03/17,506.649994,515.849976,506.649994,514.424988,456.600006,6702956
17/03/17,517.700012,521.450012,509.625,520.150024,461.681488,9507846
20/03/17,513.275024,513.275024,507.549988,510.75,453.338074,4427388
21/03/17,510.450012,517.474976,509.399994,516.424988,458.375214,4869584
22/03/17,511.225006,519.974976,510.200012,513.849976,456.0896,3990852
23/03/17,514.125,521.5,513.299988,520.224976,461.748047,4501662
24/03/17,519,522,513.849976,515.700012,457.731659,4883896
27/03/17,513.599976,520.924988,512.25,514.424988,456.600006,7684824
28/03/17,515.75,519.5,515.025024,517.575012,459.395905,4796796
29/03/17,517.150024,520.75,512.924988,515.924988,457.931366,6981186
30/03/17,517,517.950012,510.125,512.75,455.113251,12157180
31/03/17,511.625,514.650024,504,511.125,453.670929,14153854
03/04/17,516.075012,516.224976,503.049988,504.399994,447.701843,4315600
05/04/17,502.5,502.700012,495.5,497.975006,441.999084,7398338
06/04/17,499.075012,502.899994,496,499.799988,443.618958,5379008
07/04/17,500.450012,500.450012,489.5,490.774994,435.608337,6404508
10/04/17,492.450012,494.75,475.049988,476.700012,423.115601,9528472
11/04/17,478.024994,485.850006,478.024994,483.575012,429.217773,8655466
12/04/17,485,488.450012,480.174988,484.424988,429.972198,6696752
13/04/17,485,495,463.325012,465.700012,413.352051,30973188
17/04/17,465,466.049988,461.75,462.450012,410.467407,7213434
18/04/17,462.375,467,459.549988,461.325012,409.468872,4647518
19/04/17,461.5,465,456.325012,459.600006,407.937714,10071702
20/04/17,460.75,464.850006,459.274994,463.649994,411.532471,4549000
21/04/17,467.399994,467.399994,460.549988,461.850006,409.934814,3577466
24/04/17,458.75,464.25,456.5,463.274994,411.199615,5556666
25/04/17,462.950012,466.5,460.274994,464.674988,412.442261,4737060
26/04/17,464.975006,467.774994,455.100006,457.125,405.740875,9084496
27/04/17,458,464.5,458,462.625,410.622711,7797208
